    PID    PPID STAT CMD
   9514    9361 Sl   /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --render-node-override=/dev/dri/renderD129 --crashpad-handler-pid=9372 --enable-crash-reporter=3155287b-7a00-49c5-ac71-cece3df78e60, --subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,18048511703864874180,4936728675490906621,524288 --field-trial-handle=3,i,246125734429177422,8695387164347375286,262144 --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7,i,6441286087663582808,15021072476903923559,4 --trace-process-track-uuid=3190708989122997041
   9524       2 S    [nvidia-drm/timeline-2a]
   9525    9385 Sl   /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --render-node-override=/dev/dri/renderD129 --crashpad-handler-pid=9372 --enable-crash-reporter=3155287b-7a00-49c5-ac71-cece3df78e60, --subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,15684332433585680589,18295939252876871850,524288 --field-trial-handle=3,i,246125734429177422,8695387164347375286,262144 --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7,i,6441286087663582808,15021072476903923559,4 --trace-process-track-uuid=3190708990060038890
   9537    7698 Ssl  /usr/libexec/gsd-xsettings
   9545    8020 Sl   /usr/libexec/mutter-x11-frames
   9564    7698 Sl   /usr/libexec/ibus-x11
   9585       2 S    [nvidia-drm/timeline-2b]
   9666       2 S    [nvidia-drm/timeline-2c]
   9669       2 S    [nvidia-drm/timeline-2d]
   9672       2 S    [nvidia-drm/timeline-2e]
   9695    9385 Sl   /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=9372 --enable-crash-reporter=3155287b-7a00-49c5-ac71-cece3df78e60, --subproc-heap-profiling --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=10 --time-ticks-at-unix-epoch=-1781189805842148 --launch-time-ticks=103841427 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,11931379510404654412,4252963242020822120,2097152 --field-trial-handle=3,i,246125734429177422,8695387164347375286,262144 --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7,i,6441286087663582808,15021072476903923559,4 --trace-process-track-uuid=3190708995682289984
