iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
226	4	16	645	108	252	-42	102	200	-200	291	-312	67	207	149	298	714
227	4	16	676	106	254	-44	104	200	-196	5	-28	67	210	146	298	717
228	4	16	664	105	254	-45	104	200	-190	-95	69	66	211	144	298	720
229	4	16	656	105	255	-45	105	200	-180	16	37	67	212	143	298	722
230	4	16	664	104	255	-46	105	200	-194	149	-124	67	213	142	298	725
231	4	16	734	105	254	-45	104	200	-170	166	-216	67	210	143	299	728
232	4	16	695	104	254	-46	104	200	-194	66	-121	67	209	142	300	731
233	4	16	715	105	252	-45	102	200	-170	29	-172	68	205	143	299	734
234	4	16	758	106	249	-44	99	200	-166	87	-287	69	201	144	298	737
235	4	16	773	107	247	-43	97	200	-162	254	-333	70	197	145	297	739
236	4	16	758	109	245	-41	95	200	-144	68	-312	71	194	147	297	742
237	7	16	723	124	235	-26	85	200	46	94	-275	72	175	176	296	745
238	7	16	742	117	236	-33	86	200	-200	18	-183	72	177	163	296	748
239	7	16	750	120	237	-30	87	200	-90	173	-260	77	178	164	297	751
240	7	16	734	117	236	-33	86	200	-162	136	-300	76	175	159	297	754
241	7	16	750	123	230	-27	80	200	-48	158	-302	79	165	167	296	757
242	7	16	758	129	229	-21	79	200	-24	235	-289	83	161	176	297	759
243	7	16	773	128	229	-22	79	200	-98	40	-154	83	160	173	298	762
244	7	16	789	126	229	-24	79	200	-116	77	-245	85	161	168	298	765
245	7	16	785	124	227	-26	77	200	-124	200	-325	86	159	163	295	768
246	7	16	813	124	221	-26	71	200	-104	122	-355	87	151	162	292	770
247	7	16	805	125	218	-25	68	200	-90	101	-166	89	146	162	290	773
248	7	16	813	127	214	-23	64	200	-72	207	-201	91	141	163	287	776
249	7	16	785	128	210	-22	60	200	-78	302	-403	92	139	164	282	779
250	7	16	820	130	205	-20	55	170	-60	108	-290	94	134	166	276	782
