ts_ms,rel_s,alt_cmd,n_assoc,markers,kabsch_res,gt_x,gt_y,gt_z,est_x,est_y,est_z,cf2_x,cf2_y,cf2_z
308532196,4.397,0.78,6,ENENWSESWW,0.002517154672080077,0.014098226529295375,-0.008896935773675941,0.7470266386206882,0.01673368617527273,0.006827153037552917,0.7408384272314539,0.000196457,-0.0004762493,0.7898051
308532301,4.502,0.78,4,ENESEW,0.0006538245510863243,0.014315562492422601,-0.008944367661803263,0.7485514633442508,0.010107916380141302,0.008634705881270242,0.7427778784187901,0.0002000068,-0.0004752107,0.7896321
308532405,4.606,0.78,4,ENWSWW,0.001460644872261533,0.01448788287471952,-0.008987322701262991,0.749746906428746,0.01007648863952268,0.007962909861368352,0.7438070887488853,0.0002067988,-0.0004765047,0.789408
308532511,4.712,0.78,4,ENESEW,0.0003285889259402181,0.014769979277383062,-0.009060996511587965,0.7516580009747303,0.015178907060606608,0.009615846702432363,0.7453989065959247,0.0002211835,-0.0004821051,0.7891111
308532627,4.828,0.78,6,ENENWSESWW,0.0009440890394764664,0.014998608070447644,-0.00911866272027261,0.7531645421351606,0.020360766616589296,0.008296162947487237,0.7463045547471381,0.0002388936,-0.0004878665,0.7888548
308532732,4.933,0.78,6,ENENWSESWW,0.0008483285852797243,0.015234930254179005,-0.009173933045091683,0.7547094513224908,0.01589697949379435,0.009560650014224488,0.7482053582070951,0.0002557207,-0.0004913355,0.7886642
308532945,5.146,0.78,6,ENENWSESWW,0.0012353649095414624,0.01571882646823146,-0.009268573569049343,0.7579018084360698,0.016083740627977246,0.008114857304661233,0.751579703687122,0.0002983384,-0.0004935017,0.7882268
308533054,5.255,0.78,6,ENENWSESWW,0.0016370351140470446,0.01593439625266413,-0.009301513058957291,0.7593836643985731,0.016292346373020388,0.0077118962925317,0.7527427664203619,0.0003076535,-0.0004926911,0.7881171
308533164,5.365,0.78,4,ENWSWW,0.0005581753049763896,0.016184604906428972,-0.00933742542352469,0.7611821755304901,0.020025646338627398,0.008335470949830519,0.754190099630662,0.0003292686,-0.0004877865,0.7877646
308533271,5.472,0.78,6,ENENWSESWW,0.0006476783157411366,0.016395533917549384,-0.009369999891017956,0.7627823832171247,0.017848016022687024,0.009043404846573327,0.7567752928182845,0.0003324406,-0.0004870224,0.7876612
308533486,5.687,0.78,4,ENESEW,0.0003383429932062504,0.016854068737752487,-0.009462093053880731,0.7664313292892424,0.02113641322305175,0.005581523526133342,0.7585560637785457,0.0003304703,-0.0004968053,0.7872233
308533914,6.115,0.78,6,ENENWSESWW,0.001170517495730362,0.017748490928219795,-0.00966011784041944,0.7733490125417649,0.020499864805907403,0.008076453078173392,0.7662852818668295,0.0003325425,-0.0005511383,0.7865272
308534020,6.221,0.78,6,ENENWSESWW,0.0015819467251012563,0.01794781201525034,-0.009689547697364069,0.7748543649900199,0.019595502638654953,0.015197482042212834,0.7695698891449267,0.0003447167,-0.0005624707,0.7863089
308534126,6.327,0.78,4,ENESEW,0.001137663949432337,0.018184085572213824,-0.00971411759026071,0.7766736824730579,0.02244204094659534,0.01343085134296196,0.7694316012873299,0.0003520085,-0.0005658646,0.7861747
308534348,6.549,0.78,6,ENENWSESWW,0.0022147447983121515,0.01863874601399017,-0.009740324589138233,0.780389376822442,0.023873578015790653,0.007804021870312594,0.7738491685417601,0.0003567908,-0.0005670628,0.7858259
308534452,6.653,0.78,4,ENESEW,0.0003960695098466395,0.018850402056181707,-0.009751670358927617,0.7822574903222101,0.013983563459131335,0.008992684715914545,0.7763664476868739,0.0003503618,-0.0005711071,0.7856823
308534557,6.758,0.78,6,ENENWSESWW,0.0009777663721878128,0.01905219979565532,-0.009767042714441052,0.7841167444602622,0.022372637596790763,0.010603519883310528,0.7775208019404497,0.0003445107,-0.0005750244,0.7856021
308534881,7.082,0.78,6,ENENWSESWW,0.0008473938330282608,0.019668948667388976,-0.009825425775295585,0.7898735843202909,0.02059625164908107,0.01404431164293486,0.7829581355627295,0.0003055158,-0.0006229719,0.7851468
308535092,7.293,0.78,6,ENENWSESWW,0.0009168909693685791,0.02007396130360167,-0.009834661884552847,0.793445794078239,0.021448771661334905,0.01731115655962067,0.7866304484821146,0.0002977531,-0.0006459332,0.78495
308535204,7.405,0.78,6,ENENWSESWW,0.002127938190870489,0.02033698280388801,-0.009823513153360908,0.7957075084181312,0.022493033338264908,0.017227471656577037,0.7890611132529961,0.0002976204,-0.0006546685,0.7848149
308535311,7.512,0.78,4,ENESEW,0.0016610283327737133,0.02057555747511329,-0.009807390541522614,0.7977803673727956,0.01989057559173421,0.017921038303390924,0.7906437379211403,0.0002975351,-0.0006564583,0.7847013
308535743,7.944,0.78,4,ENESEW,0.0016768159309059423,0.02139258203134935,-0.00977334470055707,0.805391176853896,0.020259757430888606,0.01343261678523723,0.797678155197048,0.000275585,-0.0006564632,0.7842606
308535960,8.161,0.78,6,ENENWSESWW,0.0011313840973519052,0.021841722816452577,-0.009791263731654528,0.809697925078173,0.02243026626616789,0.01774706608495998,0.8024215071341865,0.000259391,-0.0006656487,0.784018
